"bin","bbl"
1051314,1015840007
1051313,1015840006
1051312,1015840001
1051311,1015837501
1051287,1015830150
1051310,1015830148
1051309,1015830145
1051308,1015830143
1051307,1015830140
1051306,1015830138
1051305,1015830133
1051304,1015830131
1051303,1015830130
1051302,1015830129
1051301,1015830128
1051300,1015830127
1051299,1015830126
1051298,1015830125
1051297,1015830124
1051296,1015830123
1051295,1015830122
1051294,1015830121
1051293,1015830119
1051292,1015830118
1051291,1015830117
1051290,1015830116
1051289,1015830115
1051288,1015830105
1051286,1015830049
1051285,1015830048
1051284,1015830047
1051283,1015830046
1051282,1015830045
1051281,1015830044
1051280,1015830043
1051279,1015830042
1051278,1015830041
1051277,1015830040
1051276,1015830039
1051275,1015830038
1051274,1015830037
1051273,1015830033
1051272,1015830032
1051271,1015830031
1051270,1015830030
1051269,1015830028
1051268,1015830027
1051267,1015830026
1051266,1015830025
1086925,1015830015
1051265,1015830015
1051264,1015830012
1051263,1015830009
1051262,1015830008
1051261,1015830007
1051260,1015830006
1085248,1015830004
1051259,1015830004
1085247,1015830001
1051258,1015830001
1051257,1015820151
1082385,1015820150
1051256,1015820149
1051255,1015820104
1051254,1015820052
1051253,1015820051
1051252,1015820050
1051251,1015820046
1051250,1015820045
1051249,1015820040
1051248,1015820034
1051247,1015820031
1051246,1015820030
1051245,1015820023
1051244,1015820015
1051243,1015820014
1051242,1015820013
1051241,1015820012
1051240,1015820011
1051239,1015820010
1051238,1015820009
1051237,1015820005
1051236,1015820004
1051235,1015820003
1051234,1015820002
1051233,1015820001
1085721,1015810142
1078752,1015810141
1051232,1015810109
1051231,1015810106
1051230,1015810049
1051229,1015810045
1051228,1015810044
1051227,1015810043
1051226,1015810040
1051225,1015810039
1051224,1015810037
1051223,1015810036
1051222,1015810035
1051221,1015810030
1081317,1015810023
1081316,1015810023
1081315,1015810023
1081314,1015810023
1082311,1015810012
1082310,1015810012
1082309,1015810012
1082308,1015810012
1082307,1015810012
1082306,1015810012
1051220,1015810011
1051219,1015810010
1051218,1015810009
1051217,1015810008
1051216,1015810007
1051215,1015810006
1051214,1015810005
1051213,1015810001
1082303,1015807501
1051212,1015800148
1085954,1015800127
1051211,1015800104
1051210,1015800052
1051209,1015800051
1051208,1015800050
1051207,1015800049
1077063,1015800048
1077062,1015800048
1051206,1015800047
1051205,1015800046
1051204,1015800043
1051203,1015800042
1051202,1015800041
1051201,1015800038
1051200,1015800037
1051199,1015800033
1075693,1015800032
1051198,1015800023
1051197,1015800020
1051196,1015800019
1051195,1015800018
1051194,1015800017
1051193,1015800016
1051192,1015800015
1051191,1015800014
1051190,1015800013
1051189,1015800012
1051188,1015800011
1051187,1015800010
1051186,1015800009
1051185,1015800008
1051184,1015800007
1051183,1015800006
1051182,1015800005
1051181,1015800004
1051180,1015800003
1051179,1015800002
1051178,1015800001
1078742,1015790139
1078743,1015790138
1078744,1015790137
1078745,1015790136
1051175,1015790049
1051174,1015790044
1051173,1015790043
1051172,1015790042
1051171,1015790041
1051170,1015790040
1078746,1015790035
1051169,1015790034
1051168,1015790033
1078738,1015790030
1078737,1015790030
1051167,1015790029
1051166,1015790028
1051165,1015790027
1051164,1015790023
1051163,1015790015
1051162,1015790014
1051161,1015790013
1051160,1015790012
1051159,1015790011
1051158,1015790009
1051157,1015790008
1051156,1015790005
1078729,1015790002
1078728,1015790002
1078727,1015790002
1083914,1015790001
1051141,1015787503
1085702,1015787502
1051139,1015787502
1074035,1015787501
1051155,1015780140
1051154,1015780046
1051153,1015780045
1051152,1015780044
1051151,1015780043
1051150,1015780042
1051149,1015780041
1051148,1015780040
1051147,1015780039
1051146,1015780038
1051145,1015780036
1051144,1015780035
1051143,1015780033
1051142,1015780032
1051138,1015780025
1051137,1015780023
1078724,1015780017
1078723,1015780017
1078722,1015780017
1078721,1015780017
1078720,1015780017
1051136,1015780014
1051135,1015780013
1051134,1015780012
